itemCode,name,imis_code,uom,quantity,boq_number,belongsto,partNumber,category,location,lastUpdated,,,,,,,,,,,,,,,
DWT250,Aluminium Scaffolding (L=1.80M x W=1.50M x H=12.30M),001-0018-00-018053,Set.s,0,,O&M,,GENERAL ITEMS," C&C Warehouse, Depot ",,,,,,,,,,,,,,,,
330-ML,WD-40 Multi-Use Product Original,003-0011-00-011001,"No,s",0,,O&M,,GENERAL ITEMS," C&C Warehouse, Depot ",,,,,,,,,,,,,,,,
,Baby / Angle Grinder 115mm (Bosch),001-001801-018086,"No,s",0,,O&M,,GENERAL ITEMS," C&C Warehouse, Depot ",,,,,,,,,,,,,,,,
0.9 Ltr Red,Synthetic Enamel Paint,003-0026-00-026007,"No,s",0,,O&M,,GENERAL ITEMS," C&C Warehouse, Depot ",,,,,,,,,,,,,,,,
0.9 Ltr Grey,Synthetic Enamel Paint,003-0026-00-026008,"No,s",0,,O&M,,GENERAL ITEMS," C&C Warehouse, Depot ",,,,,,,,,,,,,,,,
0.9 Ltr Red Oxide,Red Oxide Paint,003-0026-00-026009,"No,s",0,,O&M,,GENERAL ITEMS," C&C Warehouse, Depot ",,,,,,,,,,,,,,,,
"2""",HVAC insulation Tape,003-0009-00-009032,"No,s",100,,O&M,,GENERAL ITEMS," C&C Warehouse, Depot ",,,,,,,,,,,,,,,,
,Duster Towel Large/ Towel Rags,003-0017-00-017005,"No,s",22,,O&M,,GENERAL ITEMS," C&C Warehouse, Depot ",,,,,,,,,,,,,,,,
,Cleaning Brush,003-0000-00-000148,"No,s",0,,O&M,,GENERAL ITEMS," C&C Warehouse, Depot ",,,,,,,,,,,,,,,,
"6""",Scraper,001-0000-00-000053,"No,s",0,,O&M,,GENERAL ITEMS," C&C Warehouse, Depot ",,,,,,,,,,,,,,,,
500 ML,Glass Cleaner (Glint),003-0011-00-011071,"No,s",50,,O&M,,GENERAL ITEMS," C&C Warehouse, Depot ",,,,,,,,,,,,,,,,
20g,Elfi (GMSA),003-0029-00-029006,"No,s",0,,O&M,,GENERAL ITEMS," C&C Warehouse, Depot ",,,,,,,,,,,,,,,,
3.2-MM,Blind Rivit,003-0058-00-058001,"No,s",0,,O&M,,GENERAL ITEMS," C&C Warehouse, Depot ",,,,,,,,,,,,,,,,
4-MM,Blind Rivit,003-0058-00-005801,"No,s",0,,O&M,,GENERAL ITEMS," C&C Warehouse, Depot ",,,,,,,,,,,,,,,,
4.4-MM,Blind Rivit,003-0058-00-058002,"No,s",0,,O&M,,GENERAL ITEMS," C&C Warehouse, Depot ",,,,,,,,,,,,,,,,
"1/2""",Jublee Clamp,003-0000-00-000105,"No,s",0,,O&M,,GENERAL ITEMS," C&C Warehouse, Depot ",,,,,,,,,,,,,,,,
Ø105 x 16-MM,Concrete Cutting Disc (Bosch),001-0043-01-043012,"No,s",3,,O&M,,GENERAL ITEMS," C&C Warehouse, Depot ",,,,,,,,,,,,,,,,
2-MM,Rubber Gasket Sheet,003-0053-00-053003,Mtr,0,,O&M,,GENERAL ITEMS," C&C Warehouse, Depot ",,,,,,,,,,,,,,,,
HWBA01482,Crowbar/Wrecking Bar 1.5-Mtr (Ingco),001-0005-36-005008,"No,s",0,,O&M,,GENERAL ITEMS," C&C Warehouse, Depot ",,,,,,,,,,,,,,,,
6013,Electric Welding Rod,003-0003-01-003003,"Kg,s",3,,O&M,,GENERAL ITEMS," C&C Warehouse, Depot ",,,,,,,,,,,,,,,,
20-Ft/Cable,Electric Welding Plant Cable,011-0001-00-001015,"No,s",2,,O&M,,GENERAL ITEMS," C&C Warehouse, Depot ",,,,,,,,,,,,,,,,
"3""",U-Bolt Clamp with Nut and Washer,003-0033-00-003398,"No,s",150,,O&M,,GENERAL ITEMS," C&C Warehouse, Depot ",,,,,,,,,,,,,,,,
"4""",U-Bolt Clamp with Nut and Washer,003-0033-00-003399,"No,s",50,,O&M,,GENERAL ITEMS," C&C Warehouse, Depot ",,,,,,,,,,,,,,,,
FC9351/01,Vacuum Cleaner 220V-230V 50-60Hz (Philips),001-0054-00-054003,"No,s",0,,O&M,,GENERAL ITEMS," C&C Warehouse, Depot ",,,,,,,,,,,,,,,,
"1""",Metal/Jubilee Clamp,003-0005-00-005015,"No,s",16,,O&M,,GENERAL ITEMS," C&C Warehouse, Depot ",,,,,,,,,,,,,,,,
"2""",Metal/Jubilee Clamp,003-0005-00-005016,"No,s",16,,O&M,,GENERAL ITEMS," C&C Warehouse, Depot ",,,,,,,,,,,,,,,,
"3""",Metal/Jubilee Clamp,003-0005-00-005017,"No,s",16,,O&M,,GENERAL ITEMS," C&C Warehouse, Depot ",,,,,,,,,,,,,,,,
"4""",Metal/Jubilee Clamp,003-0005-00-005020,"No,s",16,,O&M,,GENERAL ITEMS," C&C Warehouse, Depot ",,,,,,,,,,,,,,,,
9mm,PPRC Gas Hose Pipe Red,003-0050-00-052026,Mtr,0,,O&M,,GENERAL ITEMS," C&C Warehouse, Depot ",,,,,,,,,,,,,,,,
9mm,PPRC Gas Hose Pipe Green,003-0050-00-052026,Mtr,0,,O&M,,GENERAL ITEMS," C&C Warehouse, Depot ",,,,,,,,,,,,,,,,
400-g,Soldering wire with paste,,"No,s",0,,O&M,,GENERAL ITEMS," C&C Warehouse, Depot ",,,,,,,,,,,,,,,,
Ledger,Tool Box Talk-New,,"No,s",0,,O&M,,GENERAL ITEMS," C&C Warehouse, Depot ",,,,,,,,,,,,,,,,
Ledger,Track Entry Data Record,,"No,s",0,,O&M,,GENERAL ITEMS," C&C Warehouse, Depot ",,,,,,,,,,,,,,,,
,High Speed Diesel,003-0011-00-011018,Ltr,0,,O&M,,GENERAL ITEMS," C&C Warehouse, Depot ",,,,,,,,,,,,,,,,
VC14122,Portable Vacuum Cleaner 800-Watt (Ingco),001-0054-36-054005,"No,s",4,,O&M,,GENERAL ITEMS," C&C Warehouse, Depot ",,,,,,,,,,,,,,,,
,Fixed stairway with handrail and landing platform,,"No,s",0,,O&M,,GENERAL ITEMS," C&C Warehouse, Depot ",,,,,,,,,,,,,,,,
,Sub Meter 3-phase KWH Digital Mater,003-0010-00-001034,"No,s",0,,O&M,,GENERAL ITEMS," C&C Warehouse, Depot ",,,,,,,,,,,,,,,,
400-ml,VMD 93 Graphite Lubricant,,"No,s",6,,O&M,,GENERAL ITEMS," C&C Warehouse, Depot ",,,,,,,,,,,,,,,,
1-Kg,Belzona 1111 Super Metal,,"No,s",1,,O&M,,GENERAL ITEMS," C&C Warehouse, Depot ",,,,,,,,,,,,,,,,
CH,Alken CH Cool,003-0011-00-011019,Ltr,120,,O&M,,HVAC," C&C Warehouse, Depot ",,,,,,,,,,,,,,,,
SP-100,Descaler SP-100,003-0011-00-011020,Ltr,450,,O&M,,HVAC," C&C Warehouse, Depot ",,,,,,,,,,,,,,,,
,Refrigrant Gas R-410 (Honey Well),003-0000-33-000141,Kgs,114,,O&M,,HVAC," C&C Warehouse, Depot ",,,,,,,,,,,,,,,,
EMKARATE RL-100H,Refrigrant Compressor Oil,010-1100-09-011001,Ltr,21,,O&M,,HVAC," C&C Warehouse, Depot ",,,,,,,,,,,,,,,,
