itemCode,name,imis_code,uom,quantity,boq_number,belongsto,partNumber,category,location,lastUpdated,,,,,,,,,,,,,,,
6500 K,LED Tube Light 8-Watt 220V-240V 50Hz 2Ft,011-0007-00-007046,"No,s",100,,O&M,,ILLUMINATION," C&C Warehouse, Depot ",,,,,,,,,,,,,,,,
Reco,SMD Down Light,011-0007-00-007025,"No,s",0,,O&M,,ILLUMINATION," C&C Warehouse, Depot ",,,,,,,,,,,,,,,,
220V,Ciramic Bulb Holder,011-0021-00-021003,"No,s",130,,O&M,,ILLUMINATION," C&C Warehouse, Depot ",,,,,,,,,,,,,,,,
30-Amp,AC Plug 3-Pin Shoe With Fuse 3-Amp,011-0005-00-005018,"No,s",20,,O&M,,ILLUMINATION," C&C Warehouse, Depot ",,,,,,,,,,,,,,,,
"24V,12W",LED Light Kit,011-0008-00-008013,"No,s",0,,O&M,,ILLUMINATION," C&C Warehouse, Depot ",,,,,,,,,,,,,,,,
Ledger,EPS Weekly Patrol,,"No,s",0,,O&M,,ILLUMINATION," C&C Warehouse, Depot ",,,,,,,,,,,,,,,,
Ledger,DB Of LV Weekly Patrol,,"No,s",0,,O&M,,ILLUMINATION," C&C Warehouse, Depot ",,,,,,,,,,,,,,,,
25m2,Power cable 4-core,011-0015-00-015004,"No,s",0,,O&M,,ILLUMINATION," C&C Warehouse, Depot ",,,,,,,,,,,,,,,,
200-500V,Line Tester,001-0035-43-035071,"No,s",0,,O&M,,ILLUMINATION," C&C Warehouse, Depot ",,,,,,,,,,,,,,,,
"100-Watt,IP66",LED Flood Light (SOGO),,"No,s",0,,O&M,,ILLUMINATION," C&C Warehouse, Depot ",,,,,,,,,,,,,,,,
10-Amp,Ceramic Fuse,,"No,s",40,,O&M,,ILLUMINATION," C&C Warehouse, Depot ",,,,,,,,,,,,,,,,
,Belt for PSD,,Mtr,120,,O&M,,PSD," C&C Warehouse, Depot ",,,,,,,,,,,,,,,,
Ledger,PSD Daily Patrol,,"No,s",0,,O&M,,PSD," C&C Warehouse, Depot ",,,,,,,,,,,,,,,,
,Maintenance Form Of PSD's (Monthly & Annual),,"No,s",0,,O&M,,PSD," C&C Warehouse, Depot ",,,,,,,,,,,,,,,,
40-CM,Water Hose,003-0037-37-003706,No.s,0,,O&M,,WSD," C&C Warehouse, Depot ",,,,,,,,,,,,,,,,
60-CM,Water Hose,003-0037-37-003707,No.s,0,,O&M,,WSD," C&C Warehouse, Depot ",,,,,,,,,,,,,,,,
"Size-1/2""","Angle Valve / Water Stop Shutup Dia 1/2""",003-0037-37-003709,No.s,20,,O&M,,WSD," C&C Warehouse, Depot ",,,,,,,,,,,,,,,,
"Size-1/2""",Bib Tap,003-0037-37-003710,No.s,22,,O&M,,WSD," C&C Warehouse, Depot ",,,,,,,,,,,,,,,,
"Size-1/2""","Wash Bason Tap Dia 1/2""",003-0037-37-003711,No.s,24,,O&M,,WSD," C&C Warehouse, Depot ",,,,,,,,,,,,,,,,
None,Electric Faucet Actuator,003-0037-37-003704,No.s,46,,O&M,,WSD," C&C Warehouse, Depot ",,,,,,,,,,,,,,,,
None,Automatic Faucet with infrared Sensor,003-0037-37-003705,No.s,0,,O&M,,WSD," C&C Warehouse, Depot ",,,,,,,,,,,,,,,,
None,Angle Valve / ball valve 3/4,003-0000-00-000155,No.s,0,,O&M,,WSD," C&C Warehouse, Depot ",,,,,,,,,,,,,,,,
SS (Dia -38mm),Pipe U Trap,003-0037-37-003708,No.s,0,,O&M,,WSD," C&C Warehouse, Depot ",,,,,,,,,,,,,,,,
None,Sink Strainer,003-0037-00-003714,No.s,10,,O&M,,WSD," C&C Warehouse, Depot ",,,,,,,,,,,,,,,,
None,Sink Drain Pipe (Flexible),003-0037-00-003715,No.s,145,,O&M,,WSD," C&C Warehouse, Depot ",,,,,,,,,,,,,,,,
Faisal,Water Flush Tank,003-0037-00-003712,No.s,31,,O&M,,WSD," C&C Warehouse, Depot ",,,,,,,,,,,,,,,,
"1.5"" 90-D",UPVC Elbow,003-0037-00-003729,"No,s",22,,O&M,,WSD," C&C Warehouse, Depot ",,,,,,,,,,,,,,,,
,Wash Bason Sink (Standing Type) Janitoriyal Sink,003-0037-00-003731,"No,s",10,,O&M,,WSD," C&C Warehouse, Depot ",,,,,,,,,,,,,,,,
"1.5""","PVC Pipe 1.5""",003-0052-00-052024,FT,90,,O&M,,WSD," C&C Warehouse, Depot ",,,,,,,,,,,,,,,,
,Basin Tap Flexible Nozzle Pipe,003-0037-00-003727,No.s,38,,O&M,,WSD," C&C Warehouse, Depot ",,,,,,,,,,,,,,,,
Vogue,Slop Sink Westbank,003-0037-00-003732,No.s,18,,O&M,,WSD," C&C Warehouse, Depot ",,,,,,,,,,,,,,,,
,"Commode Seat / Disable Toilet Seat With outlet 2.5""",003-0037-00-003726,"No,s",5,,O&M,,WSD," C&C Warehouse, Depot ",,,,,,,,,,,,,,,,
"Ø4"" X 4 1/2""",Floor Drain 110mm,003-0037-00-003742,"No,s",50,,O&M,,WSD," C&C Warehouse, Depot ",,,,,,,,,,,,,,,,
"3"" X 3""",Floor Drain,003-0037-00-003741,"No,s",50,,O&M,,WSD," C&C Warehouse, Depot ",,,,,,,,,,,,,,,,
"1.1/2""",Gate Valve S.S,002-3200-00-003201,"No,s",0,,O&M,,WSD," C&C Warehouse, Depot ",,,,,,,,,,,,,,,,
"1.1/4""",Gate Valve S.S,002-3200-00-003202,"No,s",0,,O&M,,WSD," C&C Warehouse, Depot ",,,,,,,,,,,,,,,,
"1""",Gate Valve S.S,002-3200-00-003203,"No,s",0,,O&M,,WSD," C&C Warehouse, Depot ",,,,,,,,,,,,,,,,
"1""",Float Valve S.S,002-3200-00-003204,"No,s",0,,O&M,,WSD," C&C Warehouse, Depot ",,,,,,,,,,,,,,,,
"1.1/4""",Float Valve S.S,002-3200-00-003205,"No,s",0,,O&M,,WSD," C&C Warehouse, Depot ",,,,,,,,,,,,,,,,
"1/2""",Ball Valve S.S,002-3200-00-003206,"No,s",0,,O&M,,WSD," C&C Warehouse, Depot ",,,,,,,,,,,,,,,,
18-MM,Mechanical Seal,002-1500-00-015006,"No,s",0,,O&M,,WSD," C&C Warehouse, Depot ",,,,,,,,,,,,,,,,
20-MM,Mechanical Seal,002-1500-00-015007,"No,s",0,,O&M,,WSD," C&C Warehouse, Depot ",,,,,,,,,,,,,,,,
22-MM,Mechanical Seal,002-1500-00-015008,"No,s",0,,O&M,,WSD," C&C Warehouse, Depot ",,,,,,,,,,,,,,,,
,Sink Stoper,003-0037-00-003728,"No,s",28,,O&M,,WSD," C&C Warehouse, Depot ",,,,,,,,,,,,,,,,
Ledger,Main Submersible Pump Daily Patrol,,"No,s",0,,O&M,,WSD," C&C Warehouse, Depot ",,,,,,,,,,,,,,,,
Ledger,Fire Water System Daily Patrol,,"No,s",0,,O&M,,WSD," C&C Warehouse, Depot ",,,,,,,,,,,,,,,,
Ledger,Enclosed lift system Routing Inspection,,"No,s",0,,O&M,,WSD," C&C Warehouse, Depot ",,,,,,,,,,,,,,,,
Ledger,Hot Water Pump room Daily Patrol,,"No,s",0,,O&M,,WSD," C&C Warehouse, Depot ",,,,,,,,,,,,,,,,
Ledger,Domestic Water System Daily Patrol,,"No,s",0,,O&M,,WSD," C&C Warehouse, Depot ",,,,,,,,,,,,,,,,
